incdtno,date,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd,visiblty_>1 mile and <=2 miles,visiblty_>1/2 mile and <=1 mile,visiblty_>1/4 mile and <=1/2 mile,weather_clear/pc,weather_crosswinds,weather_fog/smoke,weather_rain,weather_snow/hail,acctrkcl_max spd 10mph or less,acctrkcl_max spd 20-25mph,acctrkcl_max spd 25-40mph,acctrkcl_max spd 40-60mph,acctrkcl_max spd 60mph or more,acctrk_leased another railroad,acctrk_owned by carrier,acctrk_trackage rights only
1022GL011,2022-10-10,1,40,PM,Trespasser,Louisiana,77,>1/4 mile and <=1/2 mile,Clear/PC,45,5293,143,0,Other,Owned by Carrier,Max spd 25-40mph,8,8,27,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1022GL013,2022-10-14,6,17,AM,Derailment,Louisiana,34,<=1/4 mile,Clear/PC,9,3651,21,24,Other,Leased Another Railroad,Max spd 10mph or less,6,3,153,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
CH0822107,2022-08-08,8,0,PM,Derailment,Kansas,70,>1/2 mile and <=1 mile,Rain,10,110,1,0,Human,Leased Another Railroad,Max spd 10mph or less,6,6,197,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
20220726,2022-07-26,3,45,AM,Derailment,Kansas,76,>1 mile and <=2 miles,Snow/Hail,4,0,76,0,Other,Leased Another Railroad,Max spd 10mph or less,3,3,163,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
9419001189,2022-12-04,1,30,PM,Trespasser,Kansas,50,>1/4 mile and <=1/2 mile,Clear/PC,25,0,0,0,Other,Owned by Carrier,Max spd 10-20mph,4,4,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
9419001225,2022-12-27,9,0,PM,Grade crossing accident,Kansas,25,>1 mile and <=2 miles,Clear/PC,21,0,0,0,Other,Owned by Carrier,Max spd 10-20mph,1,1,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9419001236,2022-12-23,11,1,AM,Hazardous material release,Kansas,-3,>1/4 mile and <=1/2 mile,Rain,15,0,0,0,Other,Owned by Carrier,Max spd 25-40mph,2,2,31,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1222PR002,2022-12-04,9,1,AM,Derailment,Kansas,24,>1/4 mile and <=1/2 mile,Clear/PC,7,740,0,10,Human,Leased Another Railroad,Max spd 10mph or less,2,3,43,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
TPW216222G,2022-10-07,3,20,PM,Trespasser,Kentucky,58,>1/4 mile and <=1/2 mile,Clear/PC,9,5182,35,33,Other,Owned by Carrier,Max spd 10mph or less,4,4,181,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
0522HL008,2022-05-08,4,42,AM,Derailment,Maine,63,<=1/4 mile,Rain,3,1953,10,12,Human,Leased Another Railroad,Max spd 10mph or less,5,3,209,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
KS0822107,2022-08-11,5,35,PM,Derailment,Maine,80,>1/2 mile and <=1 mile,Clear/PC,9,4257,30,29,Human,Leased Another Railroad,Max spd 10mph or less,3,3,209,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0722HL010,2022-07-07,7,30,PM,Derailment,Maine,88,>1/2 mile and <=1 mile,Clear/PC,4,12500,104,0,Other,Leased Another Railroad,Max spd 10mph or less,3,3,209,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
KS0822101,2022-08-03,3,51,AM,Other,Maine,72,>1 mile and <=2 miles,Clear/PC,9,8200,51,43,Human,Leased Another Railroad,Max spd 10mph or less,3,3,209,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
KS0622110,2022-06-11,1,30,AM,Derailment,Maine,75,>1 mile and <=2 miles,Clear/PC,10,2849,16,33,Other,Leased Another Railroad,Max spd 10mph or less,3,3,209,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
UP220410,2022-04-10,10,8,AM,Derailment,Maine,55,>1/4 mile and <=1/2 mile,Clear/PC,0,0,0,0,Other,Owned by Carrier,Max spd 25-40mph,3,3,209,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0322HL007,2022-03-10,12,30,AM,Derailment,Maine,38,>1 mile and <=2 miles,Rain,4,5500,34,28,Other,Leased Another Railroad,Max spd 10mph or less,9,9,125,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
220413WTA,2022-04-13,1,18,AM,Derailment,Maine,51,>1 mile and <=2 miles,Snow/Hail,7,3415,110,0,Other,Leased Another Railroad,Max spd 10mph or less,2,2,173,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
221219001,2022-12-19,8,0,AM,Derailment,Maine,42,>1/4 mile and <=1/2 mile,Clear/PC,6,6878,46,2,Human,Jointly Owned,Max spd 10mph or less,2,2,37,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
KS1122107,2022-11-09,12,39,AM,Other,Maine,61,>1 mile and <=2 miles,Clear/PC,4,10659,74,24,Human,Leased Another Railroad,Max spd 10mph or less,10,10,209,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
KS1222104,2022-12-05,4,28,AM,Other,Maine,40,<=1/4 mile,Clear/PC,6,7681,73,8,Human,Leased Another Railroad,Max spd 10mph or less,3,3,209,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
KS1222104,2022-12-05,4,28,AM,Other,Maine,40,<=1/4 mile,Clear/PC,3,0,0,0,Human,Leased Another Railroad,Max spd 10mph or less,3,5,209,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2022JAN3D,2022-01-29,2,0,PM,Derailment,Maryland,32,>1/4 mile and <=1/2 mile,Clear/PC,5,12051,97,1,Other,Trackage Rights Only,Max spd 10mph or less,11,11,107,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
