incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
172181,22,9,28,10,0,AM,1,34,50,2,1.0,0,0,0,0,E,1,4,3,3,21
171414,22,6,11,5,40,PM,13,34,67,2,2.0,0,0,0,0,T,1,5,3,3,23
SW0122205,22,1,21,4,37,PM,7,35,49,2,1.0,48,14300,100,0,M,1,4,6,6,5
SW0422101,22,4,1,12,14,PM,1,35,65,2,1.0,8,220,0,4,H,2,1,5,5,9
SW0522101,22,5,14,6,15,PM,13,35,80,3,2.0,5,13259,85,50,H,2,1,6,6,9
220328003,22,3,28,4,50,PM,9,35,88,2,1.0,0,5113,0,112,M,1,1,4,4,25
SW1022106,22,10,12,9,30,PM,1,35,68,4,2.0,4,496,0,16,H,2,1,4,4,15
SW0922107,22,9,19,2,15,AM,1,35,65,4,1.0,4,3588,29,6,H,2,1,3,3,61
SW1222104,22,12,14,8,9,PM,1,35,17,3,1.0,5,5620,81,0,E,1,5,8,8,31
SW1222108,22,12,20,10,20,PM,1,35,40,4,1.0,3,5161,38,2,H,3,1,8,8,15
SW0622111,22,6,15,11,30,PM,1,35,65,4,1.0,0,78,0,1,T,2,1,3,3,1
SW0622111,22,6,15,11,30,PM,1,35,65,4,1.0,10,758,0,14,T,2,1,1,1,1
SW0522102,22,5,21,8,45,AM,1,35,75,1,1.0,10,0,0,0,H,2,1,1,1,9
SW0622103,22,6,3,12,35,PM,1,35,101,2,1.0,7,808,4,7,H,2,1,6,6,13
SW0622105,22,6,6,6,0,AM,1,35,75,1,1.0,5,0,0,0,H,2,1,3,6,61
24072022,22,7,24,10,52,AM,7,35,80,2,1.0,76,178,0,0,M,1,4,5,5,43
SW0522103,22,5,22,5,20,AM,1,35,60,1,1.0,38,11336,77,10,M,1,5,6,6,61
AZE107922D,22,6,14,2,30,PM,1,35,95,2,1.0,4,8517,59,25,H,2,1,7,7,23
SW0722104,22,7,15,12,6,PM,1,35,97,2,1.0,8,4610,37,2,H,2,1,5,5,9
144419,22,2,17,11,40,AM,1,34,66,2,1.0,0,0,0,0,H,2,1,3,3,13
202443,22,1,14,9,40,PM,1,34,28,4,1.0,3,8779,43,0,H,2,1,2,2,13
202201059,22,1,18,11,16,AM,7,34,35,2,1.0,36,0,0,0,M,1,3,2,2,27
144032,22,1,14,9,40,PM,1,34,25,4,1.0,0,0,0,0,H,2,1,3,3,13
203148,22,2,17,11,40,AM,1,34,47,2,2.0,3,5558,41,0,H,2,1,1,1,13
202204189,22,4,13,8,15,PM,1,34,55,4,1.0,5,0,0,0,H,2,1,3,3,17
20220522,22,5,22,7,41,PM,7,34,76,2,1.0,25,0,0,0,M,1,4,7,3,5
171073,22,5,1,8,12,PM,13,34,50,4,2.0,0,0,0,0,E,1,5,3,3,17
144141,22,1,25,8,30,AM,1,34,39,2,1.0,0,0,0,0,T,2,1,3,3,13
202202070,22,1,12,7,58,PM,1,34,37,4,1.0,2,0,0,0,H,2,1,1,2,17
208676,22,12,4,10,40,AM,7,34,40,2,1.0,7,1324,6,17,M,4,1,2,2,17
172441,22,8,23,6,0,PM,13,34,92,2,2.0,0,0,0,0,T,1,4,3,3,17
208300,22,11,11,5,40,AM,7,34,52,1,2.0,9,6703,48,0,M,1,2,2,2,17
144134,22,1,25,8,30,AM,1,34,39,2,1.0,5,1394,10,0,T,2,1,9,9,13
145100,22,4,28,6,30,AM,1,34,38,1,1.0,3,0,75,57,H,2,1,6,6,7
202206235,22,5,21,11,10,AM,13,34,57,2,2.0,30,0,0,0,T,1,3,5,5,13
202206236,22,5,22,5,5,PM,13,34,93,2,1.0,50,0,0,0,T,1,3,3,3,27
202202072,22,1,3,1,16,AM,1,34,19,4,1.0,2,0,0,0,H,2,1,8,5,35
202208328,22,8,7,1,12,PM,13,34,93,2,1.0,54,0,0,0,T,1,5,9,9,23
202208329,22,8,23,6,0,PM,13,34,92,2,2.0,55,0,0,0,T,1,4,7,7,17
202209375,22,9,9,10,19,AM,1,34,81,2,1.0,5,0,0,0,H,2,1,2,3,17
172440,22,8,7,1,12,PM,13,34,93,2,1.0,0,0,0,0,T,1,5,3,3,23
Y227,22,9,28,11,9,AM,1,34,70,2,1.0,10,0,0,0,T,1,1,6,6,21
202206234,22,5,25,5,35,PM,13,34,60,4,1.0,35,0,0,0,T,1,3,7,7,23
202206258,22,6,11,5,40,PM,13,34,67,2,2.0,40,0,0,0,T,1,5,2,2,23
202204154,22,3,31,10,25,AM,1,34,59,2,1.0,5,0,0,0,T,2,1,5,5,35
I04202201,22,4,23,12,11,AM,1,34,55,4,2.0,10,0,2,0,M,1,2,1,1,17
171416,22,5,25,5,35,PM,13,34,60,2,1.0,0,0,0,0,T,1,3,3,3,23
171415,22,5,21,11,10,AM,13,34,57,2,2.0,0,0,0,0,T,1,3,3,3,13
202205199,22,5,1,8,12,PM,13,34,50,4,2.0,35,0,0,0,E,1,5,5,6,17
202201,22,3,15,12,0,PM,1,34,60,2,1.0,7,2800,22,0,H,2,1,7,7,23
144488,22,2,22,3,15,PM,1,34,57,2,3.0,5,1169,17,3,T,2,1,8,8,15
146374,22,9,3,10,0,AM,1,34,80,2,1.0,10,0,29,22,H,2,1,10,10,13
220314SD1,22,3,14,5,46,PM,1,34,47,3,1.0,5,245,5,3,H,3,3,1,1,37
I03202201,22,3,20,4,57,PM,4,34,56,2,2.0,2,0,0,0,H,2,3,2,3,17
I03202201,22,3,20,4,57,PM,4,34,56,2,2.0,2,0,0,0,H,2,3,2,3,17
